,Tweets
2361,@DeadlineDayLive Must be maguire and shaw who’s feelings were shattered when Ronaldo called out how shite they actually are
2362,mbappe 90 benzema 91 de bruyne 93 messi 93 lewa 91 ronaldo 88 salah 86 neuer 90 van dijk 88 courtois 89 https://t.co/N6yTWPWLgL
2363,@Castro1021 How is Ronaldo 85 dribbling 💀💀💀
2364,@tuf_fomi Wtf que le hicieron a Ronaldo y a Messi
2365,"@daboyrk ivan toney balled in the championship bro set the record of goals before mitrovic broke it, and ramos was the penalty taker for madrid after ronaldo left"
2366,i love ronaldo and always will but i think all partys will be better off with him moving on oshamin is an absoloute baller as well id love to have him  but a part of me wouldt mind seeing ronnie go back to lisbourn portugal would go crazy #mufc #Ronaldo
2367,Get rid of Ronaldo and it would be a great summer. https://t.co/0z2LXAhywW
2368,@ManUtd Where is Ronaldo
2369,"@RichYoung2020 @Miaan_Mohsin @FrankKhalidUK Ronaldo has 59 free kicks , he scored one last season , Messi scored none 🤡"
2370,"Ronaldo should drop the number 7 Jersey for Antony. 

Read that again."
2371,"Cristiano Ronaldo entrenando hoy con el Manchester United. 

Seguimos esperando noticia. #Tranquilos https://t.co/rH7JZTibyA"
2372,🚨Selon vous ; Lionel Messi 🆚 Cristiano Ronaldo : qui est le GOAT ? 🐐 https://t.co/PZHYJdkRAK
2373,@KhumoDibakoane1 @Llekamania_ @antony00 Casemiro and Ronaldo has ucl
2374,"@DeadlineDayLive Lol player who doesn't achieved in their life thinks @Cristiano is pain in the ass.He leaves we all witnessed what happened to juve,real one good game against a sloppy liverpool  side they think they win epl and we all show what they did against Southampton. Hope he joins chelsea"
2375,@DrawtyDesign Graeme Bailey saying Dest is a possibility. Surely we’ll get another forward if Ronaldo goes.
2376,"@danlfc91 @Cristiano @EAFIFADirect @EAFIFARATINGS I know, but the Superflys are too bulky..."
2377,@AsaBart3 @gasipo_opinions As I mentioned before GOAT debate isn't that clear as we all think it's soo balanced b/w 3-4 players ... People genuinely under rate Ronaldo when it comes to such things as he does not have that flair or dribbling as others have but he possesses some special abilities too
2378,@Betclic #MercatoBetclic Ronaldo a Lens 😂😂
2379,@barcelonismo0 @Cr7stianismo_ @Cristiano Decir que cristiano ronaldo hace el ridiculo cuando es el mayor goleador de la hsitoria dice mucho de ti .
2380,@FrankKhalidUK @paulpogba @Cristiano thank u Paul and u were never a problem I think the coaches and the club is the problem.... no mental or right attitude to win
2381,"@MufccxiPrxince ronaldo at pessi's age, my idol pessi decline is hearbreaking to see https://t.co/atFcHq42LU"
2382,@ManUtdMEN Overrated Martial out and Ronaldo🐐 in🔥
2383,Pero que carajos le pasa al mundo del fútbol? Es Cristiano Ronaldo Do Santos Aveiro enfermitos mentales hasta que muera tiene que jugar para ganar todo https://t.co/RnAnKUnkuU
2384,@Shawn_FCB_WWE @DeadlineDayLive Its only shame that Ronaldo has achieved so far this season!
2385,@BILD_Eintracht Bitte Ronaldo
2386,"Los seguidores del Atlético de Madrid viendo que les jodieron el escudo, les dejaron sin estadio, los vistieron como payasos, se interesaron en el fichaje de Cristiano Ronaldo y luego ficharon a un canterano del Real Madrid. https://t.co/CksKbCHZYc"
2387,@RobertoZerpa @arielipillo @Cristiano Cómo ido ? Jaja
2388,@maiorzeiro @Cruzeiro @Ronaldo O Bidu não vlw isso tudo não ainda mais só por 50% dos direitos do atleta
2389,@Naija_PR Christian Ronaldo
2390,@totalcristiano That’s because you guys can sell Ronaldo and Casemiro for example for huge amounts.
2391,@Ghana_Ronaldo @Mr_Ceyram @kwame_ArthurJnr @KingsManShoes4 😂😂
2392,"🇮🇹  Midweek's Serie A Predictions - Gameweek 4 🇮🇹

✅ Betting Tips
✅ Correct Scores
✅ 29/1 Accumulator
✅ Free Bets

#football #acca #SerieA #ACMilan #InterMilan #Juve #Juventus #Napoli #Roma #footballtips #Italy #Lukaku #Ronaldo #SassuoloMilan

Here👇
https://t.co/v40zuhnVXX"
2393,"@eliamvl1 @Cristiano Este United no tiene nada positivo como equipo.
Compran a un tipo 100 millones que no marco ni 10 goles en liga Holandesa."
2394,"@MoussaAthouman2 @Sendo922 "" le vrai Ronaldo "". CR7 surpasse tellement R9 sur tout les points et est tellement plus ancré dans l'histoire que c'est une insulte de le voir comme le faux Ronaldo. Y a aucun vrai Ronaldo. Les deux ont marqué l'histoire c'est tout."
2395,@Cristiano https://t.co/pzbWDaHIoE
2396,Cristiano Ronaldo en el entrenamiento de hoy con el Manchester United. 🔴 https://t.co/f6rGYQ6w6x
2397,@BruAguzzi @Cr7stianismo_ @Eze_rcgimenez @Cristiano Culo roto
2398,Masih percaya ama manusia yang arogan diruang ganti.. Manusia si paling hebat dengan karakter yg rendah diruang ganti.  Gw yang menolak suka dengan ronaldo sejak awal masuk ke juve.. https://t.co/fpwM7W4SV4
2399,"@UnitedStandMUFC Sign to replace him? 😂😂 These fans have gone wild. £220m spent + Ronaldo replacement. But oh, Glazzers out"
2400,"RONALDO IDIOTA MANO, ABAIXOU A CALÇA NA MINHA FRENTE BUNDA PELUDA VELHO"
2401,@badidopai Mas tu achas mesmo que 70% não queria este negócio ? Vendem-se por pouco. Preferem o Ronaldo ao Sporting
2402,@debinho_10 @Cristiano I think he is benching him becos of the stupid talks that he is old and he cant be aggressive and all..meanwhile this man scored 24times last season. i can't understand this hatred.We all know Ronaldo trains every time so i am definitely sure its not becos of lack of preseason
2403,"É extremamente importante frisarmos que os cortes e remanejamentos feitos nos ministérios não têm cunho político ideológico algum.  Pausa para almoço ao lado do Governador Ronaldo Caiado, do Min. A convite do Presidente da CEF falei para seus servidores nesse 10/maio."
2404,@theguir9 @NeymarBall_ Ça marche pas Ronaldo a 3 ans de carrière de plus que Messi
2405,@Jn_sq27 @Victorious_111 @Joshua_Ubeku Ronaldo plus 100m for Osimhen?? How???
2406,"@junior64341617 @TXXXX81475195 @IcaroDaviA @RealBrasil_BR @marca Ele deu o passe para o Vini, simples assim.

Nunca será Gareth Bale e Cristiano Ronaldo."
2407,@Cristiano https://t.co/h6l9vl8EiN
2408,@Cristiano https://t.co/fNqa4PMDGY
2409,@AllForUnited Just know if Ronaldo stays he will be starting matches again.He was out only coz Ten Hag thought he might leave.That's why he had to leave
2410,"ALLAH'S NAME FOUND IN THE BIBLE 🔥🔥👇
https://t.co/BytxRObQY0

Marina Manchester united #ASUUStrikeMustEnd shola Andrew Tate Reece James Martinez tomiyasu Airtel  will Smith vitinha John wick ogbeni Dan James lisandro ogbeni #LagosEducationSummit Flavia Ronaldo marry Yoruba https://t.co/kDBunlE97r"
2411,"1. Javier Zanetti 
2. Ivan Zamorano belum terlalu 'ngeh' waktu akhir 90an awal 2000an, jg pernah niru no punggungnya sewaktu bikin jersey futsal waktu SMA, ku kira yg make tanda + dulu malah roberto baggio wkw
3. Ronaldo de Nazario gocekan mautnya 
4. Recoba ngerii kaki kirinya. https://t.co/qO6ceul7cJ"
2412,@eliamvl1 @Cristiano Esto no es para nada positivo
2413,@bilheteriacec @Ronaldo @socio5estrelas arruma isso que inda da tempo
2414,@Eagle10ii disgusting without ronaldo
2415,@realvalladolid @NewYorkRedBulls Que desgracia de jugador made in @Ronaldo
2416,@Alonzopsy4 Fais signer Ronaldo @Alonzopsy4 ! Fais jouer tes relations le Capo !!
2417,@RonaldO_Fernan Hum me interessei obrigada
2418,@ChelseaFC we need Ronaldo please
2419,Cristiano Ronaldo in training today ❤️ https://t.co/HlYiOqx3ra
2420,"@Kini_Watii @ManUtd @LisandrMartinez @TyrellMalaciia @raphaelvarane Why?
And what do you mean, are they selling Ronaldo? Nobody is trying to buy him, so it doesn't matter if we want to sell him or not."
2421,"@realvalladolid @NewYorkRedBulls Con el se podría ir Ronaldo,su gran valedor"
2422,"Cristiano Ronaldo's teammates at Manchester United reportedly celebrated when they found out that he wanted to leave this summer.

Some of them think he’s a ‘pain in the arse’. 

➪ ESPN https://t.co/2RpIjnvW06"
2423,@FrankKhalidUK @paulpogba @Cristiano I agree 💯
2424,KRISTIJANO RONALDO POGUBIO KONCE! Besni Portugalac udario saigrača u svlačionici – sve isplivalo! https://t.co/d4tOr6jLEv
2425,cristiano ronaldo YOU WILL ALWAYS BE A WINNER
2426,"@Origilista Yes that standard you have will make you applaud Ronaldo/Mbappé for having 2 penalty goals and a tap-in for an hattrick. 
Hater. https://t.co/EQwlAW4K1G"
2427,@NickCecca Ronaldo for Marseille it's ok?
2428,"QUE NADIE SE OLVIDE QUE ESTE ES EL ÚNICO FICHAJE EN EL QUE RONALDO SE HA INVOLUCRADO DESDE QUE ES PRESIDENTE DEL PUCELA. FUE A BUSCARLO A ECUADOR, HIZO UN CHANCHULLO CON NIKE PARA PAGARLE,… Y SOLO PUDO ALEGRARSE POR ÉL CUANDO MARCÓ UN GOL CON EL PROMESAS https://t.co/dFWFHybtZ2"
2429,@leonageral Verdade um time que decretor falência... depois foi vendido mais barato que dinheiro de pinga cancelou o CNPJ virou time de Ronaldo gordão e bateu o recorde de um time na série 🅱️🅱️🅱️ tri Cicinho muito feliz nas palavras
2430,@isa8trix Kkkkk queria o @Cristiano no Chelsea
2431,@MUnitedFR ronaldo pleure
2432,@ManUnitedZone_ Lolll Ronaldo needs to be at 70 overall
2433,"ton joueur préféré Cristiano Ronaldo 
- la légende Rooney
- la star Cristiano Ronaldo
- la pépite Elanga
- le prochain parcours en 
championnat 3e
- le flop Bruno fernandes https://t.co/zjMpAzy5nV"
2434,@babuFan_Ni @arunkalyan5 @Kaali_102 @ronaldo_mb_dhf Satisfying 🤤🤤🤤🤤🤣🤣🤣🐸🤣😂😂😂🤣🤣 https://t.co/QKTsMPkk2t
2435,@skysneedy Didn't knew it was an Instagram award 👀 Then where's Ronaldo's  award ? 👀
2436,"Que piada namoral kkkk Bruno Rex é disparado o pior sucessor da história da Bahia. Aí o golpinho deve ser bem avaliado mesmo, o antecessor uma lástima, o sucessor uma desgraça. Selo Zé Ronaldo de manutenção do poder. Vai perder pra governador mais uma vez pra voltar a prefeitura. https://t.co/NNnbiPlmRD"
2437,@OfficialFPL like if you don’t have ronaldo
2438,"@VishnuS84779525 @goal @ErlingHaaland @alfiehaaland I don't, I totally respect Ronaldo with all what he has done."
2439,@ESPNFC ESPN 💩💩💩💩 lick your own ass..... Man United and Ronaldo is your only source of money... Respect your owner
2440,Como há Sportinguistas que não querem o Ronaldo no Sporting decerteza que não levariam a mal se fosse para o Benfica.. Como não o querem no Sporting o que importa para onde va?? 🤷‍♂️
2441,"Quem concorda com isto é mais burro que uma casa. 

Que se foda o Ronaldo. Não quer vir não vem.
Baixar calças a Ratos e ao Mendes? Nunca na vida. https://t.co/mEMTkK4STC"
2442,@utdreport Ronaldo smiling
2443,@VAYDER007 All talk... I don’t even let Ronaldo’s agendas faze me
2444,@LeanDesign_ Messi higher than ronaldo?
2445,@utdreport Ronaldo looks too happy 🤔
2446,@ronaldo__mdm ✋🏻😜🤚🏻 https://t.co/volsjuEnKr
2447,"@TottenhamTiers @FabrizioRomano Give up with our recruitment it's a joke United signing anthony when they have elanga, rashford, sancho, Ronaldo, martial, were going after James with kane out of form son and kulu and richy. 🤮"
2448,@ResultaFutbol @Statsatm Te falta Ronaldo el último día a las 23:59
2449,"@LF86DS @fernandopalomo @Cristiano 1. Cristiano fue fichado en 2009 por 96M (no es la última década) 
2. Fue vendido por 100M en 2018 (si computa su venta en la última década)

No es difícil leer"
2450,"-اكاد أجزم أن يكون ختآم اللاعبين الدوليين..

 @musalli9  @Cristiano @AlNassrFC 
#النصر #تعرف_مسلي #النصر_العالمي_الإستثنائي #مسلي_آل_معمر #CristianoRonaldo https://t.co/zb4wxYOpFa"
2451,@jeonsobvious @Btsrashu7 Ronaldo deserve artist of the year!!
2452,Hey Dostum! Sence Ronaldo Napoli'ye Gidermi?
2453,"I have a feeling,Christiano Ronaldo will end this season with less than 15 goal contribution this season (for clubs) who says no😀"
2454,"@UtdPlug @carlolaudisa I can't stand Ronaldo but even I wouldn't want anybody to stay where they don't want to, that would be too cruel."
2455,El marketing de Ronaldo ha llegado a que en este caso (súper humillante) la gente lo apoye. Por lo contrario a Messi que es cambiado al 83 (siendo el jugador del partido) con su equipo empatando se le machaca de formas incomprensibles. https://t.co/8NDzHxai9y
2456,@Cruzeiro @Staff_images Tira esses ingressos extra aí @Ronaldo todos os sócios tem direito de ter a oportunidade de comprar seu ingresso
2457,@PolySarkcess Aside Suarez who have won the pichichi in Messi Ronaldo Era?
2458,@L8Singed @DullenDike @Niklas_Wilson_ Messi hat -2 bekommen und Ronaldo -1 messi hat mehr weil er beim letzen Fifa auch mehr hat.
2459,@Castro1021 Defending aswell like Ronaldo goes back to defend corners/free kicks/etc due to his hieght yet they the same
2460,"Antony cross                  Ronaldo header
#mufc https://t.co/cC2POvSOYR"
2461,@Muppetiers I'd rather let Ronaldo go and bring in a proper CF
2462,"🗓️1 września to dzień gdy dzieci wracają do szkoły i zamyka się letnie okno transferowe⚽️

Wiele wydarzyło się tego lata, ale czy to już wszystko ⁉️
Co z @BernardoCSilva w @FCBarcelona 🔜❓
Albo @Cristiano poza @ManUtd 🔚❓

Kto ma większą szansę na zmianę klubu?"
2463,"@MaroineTorres Rúben Amorim: ""Penso que o Ronaldo vai continuar no Manchester United""

Voilà comment il a parlé de CR7 ( je sais pas si tu as la traduction )"
2464,"@ManUtd Finally y’all included Ronaldo in official posts.

I noticed that he was intentionally excluded in previous posts"
2465,"@Messi_1010goat And much more, Ronaldo is also more complete has a variety of different passes and more creative than Messi with his passes as well lol, Ronaldo is much more than just a goalscorer"
2466,@Fumzerleretour @saile_jedusor @wahraniii6 @_Cristiano9_3 Les joueurs cités ont des qualités individuelles tout connaisseur de foot le sait mais Ronaldo à tout ça
2467,@ManUtd @Cristiano Good Man City didn’t sign him
2468,"@ChelsTransfer @todd_boehly go get Ronaldo else we will be in trouble upfront. 30M on Aubameyang whiles u can use just that for Ronaldo wages. 

Go for Ronaldo, he can convince Rafael Leao to leave AC Milan to Chelsea"
2469,@Ronaldo_swee @AZ1_CR7 @c7world له
2470,@DeparSports ronaldo o statslarla nasıl 90
2471,@bbzeskil True men fifa gjer fan i koss de spele ser bare på statså å statså seie lik rating ut ifra at messi va 1 høg. Ronaldo va 91 å sesongen han hadde va kje downgrade liksm
2472,@SaraGal03691516 Ronaldo el calvo no?
2473,"@KingFeezle 😂 simple question na 

Ronaldo wey dey mad"
2474,@Hannover96 Ronaldo
2475,@utdreport I swear Ronaldo isn't going anywhere. Man's gonna honor his two years then leave
2476,El mejor del mundo ! @Cristiano @__georginagio @ManUtd_Es @FIFAWorldCup https://t.co/llpBU3Wkcv
2477,@Aarya217731332 @arunkalyan5 @Kaali_102 @ronaldo_mb_dhf Satisfying 🤤🤣🤣🤣🤣 https://t.co/YajjLwjXhX
2478,@Peak_Ronaldo Achieved it in 3 matches which kohli couldn't in 100
2479,"Tirei Cristiano Ronaldo Legend Ouro, tô vendendo hein https://t.co/hi3ZmwdVNN"
2480,@utdreport Ronaldo is smiling. Is he staying? 🤔
2481,"#mufc We still need improvement in RB, GK, ST and CM spots

Can manage one more season with Degea Eriksen Fred for GK and CM spots

ST - Ronaldo looks disinterested and Martial doesn't stay fit

RB - Dalot can't play 50 games with consistency.

@ManUtd pls sign a ST and a good RB"
2482,@Eloss200_ 27 ans 0 ldc 0 ballon d’or 0 souliers d’or mdrrrr quel Ronaldo et Messi ?
2483,"@MUFCoystein @ostyrvold @Chris_Berba PT har United Ronaldo, Martial og Rashford som realistiske spiss kandidater. Hadde lett tatt en erfaren spiller på lån ala Cavani, Henrik Larsson, Zlatan, etc om Ronaldo går. Altså en kortsiktig løsning som har mål i seg."
2484,@Sairocking0217 @ronaldo_mb_dhf Prasad lo evvadu test cheyatledu broo 8 pm show adii
2485,Viva Ronaldo https://t.co/rWWAMdpurM
2486,Ya 12 ans on avait ronaldo https://t.co/Ylz6sRv6Rz
2487,"@DhruvCFC I think auba deal will fall
we may end up signing ronaldo"
2488,"@luisaaslw e do Cristiano Ronaldo, mas descobri q não vale nada KKKKKKKMSKSJ"
2489,Tanto problema en el país y sólo se preocupan por el destino próximo de Cristiano Ronaldo
2490,"@agittoriu ...finale di carriera...

Il miglior Ronaldo nel miglior club al mondo.
Poi ci stava la Juve in quel momemto."
2491,@babuFan_Ni @arunkalyan5 @Kaali_102 @ronaldo_mb_dhf 😂🤣🤣🐸🐸🐸😂🤣😂 https://t.co/sX6dRAkMKW
2492,"@TeamCRonaldo @_GIFN When did he said that he is not staying in MU?😏
Shit Media's posting fake news about Ronaldo..I think it's Not Ronaldo fan page but Pessi fans page🤣
Ronaldo himself said that he is staying in this club and this shit are saying he is close to stay in MU🤣🤣"
2493,#SkySports at least have the decency to fact check on Ronaldo before solling his name.  When did Ten Hag tell Sky Ronaldo is only a bench player?  Put some respect on Ronaldo’s name !!
2494,@SK10Football @Cristiano Liar .....just like your idol pessi
2495,Neymar will be worse than Ronaldo in my opinion! out of control for superstars like him! https://t.co/aBbQu0PZWo
2496,Deben ganar lo mismo que Cristiano Ronaldo! https://t.co/Rz31XTQJx7
2497,"@Messi_1010goat In 09/10 season Ronaldo created 84 chances in 35 games having 2.4 chances created per game, only Messi's best playmaking year (2019/2020) when it comes to chances per game equals that ( also 2.4 chances created)"
2498,@ronaldo_mb_dhf @ManuTarakian16 @arunkalyan5 Jr ntr ❤️edhi anna
2499,@BlueboyCR7 creo que en ningún momento dijo ronaldo y maguire el mejor ajjsjs
2500,@RonaldO_Fernan Qual é o foco da série?
2501,"@RafAuriemma ti ho seguito a pressing. Non condivido. CR7 e Mendes vogliono usare il Napoli come il mezzo per partecipare alla CL, e non perdere una vagonata di soldi dagli sponsor. Perché non lo dici questo? Ronaldo a Napoli, e' Bocciato."
2502,@Bartosz76153999 @narodowylublin O a tutaj Ronaldo próbuje konkurować z narodowcami o dominację https://t.co/iyYzJb3Xtd
2503,"Ma ora ci si mettono anche i Turchi?
#Ronaldo #Napoli https://t.co/RevZrXUcZ0"
2504,@DeadlineDayLive @mundodeportivo Manchester United skulduggery never ceases to amaze me. Keep on supporting this shaky outfit. They need all the fair weather supporters they can get. Don’t forget to buy a Ronaldo shirt before they become defunct https://t.co/gpju2XeViE
2505,@ManUtdMEN Ronaldo?? Sancho?? 🤔
2506,"@ManUtd In all the pictures posted today, how come Ronaldo appears no where?"
2507,"#アイマス17歳おめでとう
#Ronaldo 
#Hazardisacat 
https://t.co/6kDydcSHDz"
2508,"DIRECT. Mercato : Soler et Ruiz vers le PSG, Antony, Ronaldo… Les infos transferts du mardi 30 août
https://t.co/DI3eDo9GHF
Source : Ouest France #123INFO"
2509,@babuFan_Ni @arunkalyan5 @Kaali_102 @ronaldo_mb_dhf 🐸🐸🐸🤤😂🤣😂😂🐸🤣😂🐸 https://t.co/rVphVZv7IT
2510,"@ManUtd Lindelof is back.
Sell Ronaldo MAGUIRE,. And bench BRUNO"
2511,@UtdDevilsTR Ronaldo 90 mı puahah bu kadar korunan bi topcu görmedim aq
2512,"@Rui_Castro O  Ralf Rangnick aconselhou o Tuchel a não comprar o Ronaldo, o MU está mortinho para se livrar dele, o Dortmund nem ouvir é o Amorim que não anda aqui a comer gelados com a testa já viu o que ia acontecer. O Ronaldo é um eucalipto futebolístico, seca tudo à volta para onde vai."
2513,@AIiPichichi Carrément c’est une insulte pour Mbappé lui il est comparé à Messi et Ronaldo au même âge carrément
2514,@thedefiedge Messi/C.Ronaldo are the goats... nobody before had even a chance because of tech...
2515,"@TheSpursExpress @FabrizioRomano #notojames crock of shit as I said before united paying 100m euros for anthony, while they have martial, rashford, sancho, Ronaldo, elanga and more and our best option James we are not a serious club end off."
2516,@ManUtd Ronaldo still smiling after all of these criticism. Pure professional player
2517,"@victorosimhen9 Loading £120,000 + @Cristiano https://t.co/ayO5VHXP74"
2518,Cristiano Ronaldo in Man United's training session today ❤️ https://t.co/CJgmzFd1mA
2519,@babuFan_Ni @arunkalyan5 @Kaali_102 @ronaldo_mb_dhf 🐸🐸🤣🤤🤤🤣😂🤤🤣🐸🤣🤣🐸🐸🐸😂🤣 https://t.co/THxhL0sZMY
2520,"Training for the game against Leicester City on Thursday:

CRISTIANO RONALDO. https://t.co/BSk9iZIbdS"
2521,@HardManUtdVids Ronaldo is the GOAT 🐐 all these disrespect is unwarranted
2522,"El triplejueputa de Todd Brokely cerrando a Zaha, Cristiano Ronaldo, Fofana, Aubameyang y a Neymar en el último día del mercado de pases https://t.co/PTFkI3ToTK"
2523,"@pjstretfordend I recall Wenger nearly having a stroke when @Cristiano did something similar against Arsenal 🤣🤣🤣 

Personally, I think it’s great no matter who’s doing it 🤷‍♀️"
2524,@idoxzi @XavsFutbol So we had Pepe Ramos Ronaldo Benzema Modric Marcelo Varane Di Maria before hand hmmmmm
2525,@Blaacco @Cristiano Bro....don't you think the coach is benching him bcos of lack of preseason training and his desire to leave??
2526,@ManUtd @Casemiro Start Ronaldo
2527,"@disinformatico Francamente di Ronaldo non me ne frega un piffero, e come a me, così a tanti altri.
Mi sembra un ragionamento molto puerile, il suo. Mi rincresce dirlo."
2528,ronaldo ayni ben ya bosuna kinlemioruz adami🔥 https://t.co/J2uTXffZyJ
2529,"@eduardogamarro @elchiringuitotv @10JoseAlvarez Según vuestra lógica Sergi Roberto es mejor que Zidane porque ha ganado más Champions, sois ridículos jajajaja Claro, Ronaldo y Figo ganaron el Balón de Oro por sus temporadas en el Barça, que me estás contando 🤣 Sigue viendo fútbol guatemalteco, del español entiendes poquito! https://t.co/HrjYM8GXSR"
2530,Mercato: The transfer of Cristiano Ronaldo is complicated https://t.co/SDCRZISYgy
2531,@Cr7stianismo_ @Cristiano Se entiende perfectamente Q el @Cristiano siempre solo ha buscado mercadearse para aumentar sus ingresos al compararse con @messi10_rey 👑D10S🐐el Mejor del Mundo de Todos Los Tiempos @WeAreMessi maximo ahora cuando siente bastante cerca su retiro definitivo de las canchas @sport
2532,"@Ronaldo
😔 https://t.co/a5p8imNA58"
2533,@alphanation07 @ManUtd bhai ronaldo ko ignore na maro 💔
2534,"@Fumzerleretour @saile_jedusor @wahraniii6 @_Cristiano9_3 Suarez/lewan côté vitesse tu oserais les comparer avec Ronaldo, Mbappé il est rapide oui mais à-t-il le jeu de tête de Ronaldo , Messi il est fort tout le monde le sait mais il n’a pas le même profil donc je vais pas comparer et De bruyne je l’ai jamais vu dribbler comme Ronaldo"
2535,Il complète le top 5 avec Pep Mbappé Macron Ronaldo https://t.co/1ksIiGQ1TX
2536,@MarcusTveiten eh idk Messi spele bedre fotball utenom tallå åg. Ronaldo hadde møkk lag då
2537,@babuFan_Ni @arunkalyan5 @Kaali_102 @ronaldo_mb_dhf https://t.co/bRmBpH6Xdt
2538,"IL COMMENTO - Cobolli Gigli: ""Ronaldo? Non vorrei rivederlo in Italia, il Napoli sta bene così, è tra le prime pretendenti per lo Scudetto"" https://t.co/mRmQbmQIF4"
2539,"IL COMMENTO - Cobolli Gigli: ""Ronaldo? Non vorrei rivederlo in Italia, il Napoli sta bene così, è tra le prime pretendenti per lo Scudetto"" https://t.co/FMJMZ3t5aq"
2540,"Caso o Cristiano Ronaldo não saia, o Manchester United poderá ter 6 jogadores no time titular que falam português, mas o time ainda não tem um perfil em português.

Dalot, Fred, Casemiro, Bruno Fernandes, Antony e Cristiano Ronaldo

@_nick #ManUtdPT #ManUtdPerfilEmPortuguês https://t.co/5okvCM1vqa"
2541,"Na manhã desta terça-feira, o policial penal Ronaldo Oliveira de Araújo foi assassinado à tiros dentro da oficina Auto Mecânica Araújo, na Estrada do Magarça, em Guaratiba.

Equipe do 27ºBPM (Santa Cruz) foi acionada, e chegando no local, já encontraram o agente sem vida. https://t.co/5Bb1aJ0WCO"
2542,"🇮🇹 #Pronostici Serie A - 4a Giornata  (Turno Infrasettimanale) ⚽

👉 https://t.co/CzjjKfC38S

✅ Migliori #Scommesse
✅ Marcatori
✅ Risultati Esatti
✅ Schedine Vincenti
✅ Bonus Gratis

#SerieA #30Agosto #Inter #Juventus #Milan #Ronaldo #Napoli #InterCremonese #SassuoloMilan"
2543,@ManUtd Where's Ronaldo?
2544,"@FrankKhalidUK @paulpogba @Cristiano It has to Take Only a Coach Like Mourinho, Ancelloti and Zidane amongst All European Coaches to Manage @Cristiano Today.
So as to Change his Mentality to be a Team Player not an Individual Player."
2545,@Mordu2FUT nimporte quoi la carte de ronaldo vraiment
2546,@ManUtd Where's Ronaldo
2547,"@blackrodblue @Everton @talkSPORT That’s so true, not one mention of it, yet Ronaldo shows up at a school and it’s all they talk about, different strokes for different blokes mate, so blatant to see ain’t it 🤬"
2548,@HardManUtdVids Those who say Ronaldo isn't skillful ad can not dribble today only tell us their age unsolicitedly
2549,"Respect Salary Earners  This Week.
If Not Hunger Go Kill You. 😂😂😂

Set awon Cristiano Ronaldo Neymar Marina 😂😂😂😂😂😂 https://t.co/UN8lzwPm3g"
2550,@FabrizioRomano What about @Cristiano ?
2551,@JakeIntrovert @RonaIdoProp Cus he’s a ronaldo bum boy he rides ronaldo till he’s dies
2552,@ManUtd Where is Ronaldo?
2553,@SK10Football @Cristiano Am a hardcore #messi fan but nobody’s prayers can make a legend like @Cristiano fall… he is indeed one of the best players to ever play the game
2554,"@PZPNeFutbol @LaczyNasPilka Tak na prawdę to większość zawodnikow powinna mieć 3/3. Te 5/5 to musiałoby zostać dla kozakow CR7 M10 ronaldinho Ronaldo, czasem te mamy rozdają z dupy co sredniejszemu zawodnikowi"
2555,@futebol_info O @errdIreIt0 daria pro @Ronaldo
2556,@PesindeyizApp Forvetde şuan prime Ronaldo olsa Kerem ve Yunus BÖYLE OYNADIĞI sürece o bile iş yapamaz
2557,"@FutArcade Ronaldo is so underrated pace wise its crazy. Messi, a man who doesn't even sprint, has the same pace as him somehow? EA 👏"
2558,"@FrankKhalidUK @Thecfcdaily_ Either of them is not fucking needed!!!!

We need a fucking striker! Signing Ronaldo is better than signing these guys who love showboating"
2559,@themightyderyen But dem swap am plus Ronaldo aa my eye go get oo
2560,@Gall_ronaldo @Questioneivoce @franca16_gaby @felipeneto Não sei dizer se é inocência ou desonestidade 🤔
2561,"“Cristiano Ronaldo es el mejor jugador contra el que me he enfrentado.” 

Jordan Pickford - Portero del Everton. 
https://t.co/UEElSOFwQa"
2562,@Prabhas_Anwar1 Arey @ronaldo_mb_dhf idhi chustunnava asalu😂😂😂
2563,@bbzeskil Ut fra sist sesong så syns eg ronaldo messi konne vert samma rating. Mans carria utd så hart sist sesong men denne sesongen ser d ut så messi våkna opp igjen
2564,@Z7Pcvxkedd @PSDartis @goal While Ronaldo ruining the whole team. Poor Manchester United
2565,@ManUtd POV: u re searching for Ronaldo 👀
2566,"@MikeA51269723 @ForzaJuveEN @DiMarzio 😂😂😂😂 youre funny 
They regret nothing we rebuild our squad because Ronaldo changed our whole play System and demanded 30 Millions per year... 
To join arsenal over Juventus to play Europe league ? Yes that would be smart for paredes"
2567,"Cristiano Ronaldo
#MUFC https://t.co/EZmxtiJtIs"
2568,"@iRealMadridTeam You’re welcome
Here’s a pic of bale stepping up after ronaldo left https://t.co/eEddaj3Qwo"
2569,@Cristiano ❤️👑
2570,"@Messi_1010goat More G/A than Messi without friendlies and domestic cups (984 g/a &gt; 976 g/a), 8,71% of Ronaldo g/a come from friendlies and domestic cups while 14,68% of Messi’s come from those"
2571,"@FrankKhalidUK @paulpogba @Cristiano Jose said it all ""they don't know how to use him"
2572,"@EduardoPompeu8 @Ronaldo_uber @hoje_no De que vale o rublo valer mais, você aceita pagamentos em rublo?"
2573,@FabrizioRomano Better than Ronaldo
2574,Cobolli Gigli: “La Juve deve ancora guarire dai problemi di Ronaldo: il Napoli non lo prenda” https://t.co/UIJlx2WRGr #calciomercato #forzanapolisempre
